S#,Date,Islamic Date,Blast Day Type,Holiday Type,Time,City,Latitude,Longitude,Province,Location,Location Category,Location Sensitivity,Open/Closed Space,Influencing Event/Event,Target Type,Targeted Sect if any,Killed Min,Killed Max,Injured Min,Injured Max,No. of Suicide Blasts,Explosive Weight (max),Hospital Names,Temperature(C),Temperature(F)
201,Saturday-September 26-2009,7 SHawwal 1430 A.H,Working Day,,7.00 am,Bannu,32.9861,70.6042,KPK,outside Police Station in mundan area-Bannu,Police,High,Open,NA,Police,None,7,10,50,65,1,180Kg,N/A,26.375,79.475
202,Saturday-September 26-2009,7 SHawwal 1430 A.H,Working Day,,11.35 am,Peshawar,34.0043,71.5448,KPK,"Fakhar e Alam Road-
Saddar-infront of Askari bank",Bank,Low,Open,NA,Civilian,None,10,14,50,120,1,100 Kg,"1. Lady Reading Hospital Pesh
2. CMH Peshwar",31.075,87.935
203,Monday-September 28-2009,9 SHawwal 1430 A.H,Working Day,,Monday Morning,bannu,32.935,70.6688,KPK,Bakakhel,Mobile,Low,Open,molvi abdul hakeem as goin to attend jirga-anti-talibanic cleric,Anti-Militants,Sunni,4,5,,,1,NA,NA,24.33,75.794
204,Monday-October 5-2009,16 SHawwal 1430 A.H,Working Day,,12.15 pm,Islamabad,33.718,73.0718,Capital,WFP office in islamabad F-8/3,Foreigner,High,Closed,NA,foreigner,Christian,,5,3,8,1,8Kg,NA,24.935,76.883
205,Friday-October 9-2009,20 SHawwal 1430 A.H,Working Day,,12.15 PM,Peshawar,34.0043,71.5448,KPK,Khayber Bazar-Peshawar,Market,Low,Open,NA,Civilian,None,48,50,148,187,1,100Kg,"Lady Reading Hospital 
Peshawar ",25.75,78.35
206,Monday-October 12-2009,23 SHawwal 1430 A.H,Working Day,,1:00 PM,Shangla ,34.8015,72.757,KPK,near police station in Alpuri area of shangla District,Mobile,High,Open,military convoy,Military,None,,41,45,50,1,NA,Alpuri Hospital ,22.04,71.672
207,Thursday-October 15-2009,26 SHawwal 1430 A.H,Working Day,,8:00am,Kohat,33.5833,71.4333,KPK,Kohat Police Station ,Police,High,Closed,NA,Police,None,11,12,20,24,1,100 Kg,Kohat Hospital ,23.25,73.85
208,Thursday-October 15-2009,26 SHawwal 1430 A.H,Working Day,,NA,Lahore,31.5451,74.3407,Punjab,FIA Headquarter-Manawan Police training school-elite training school,Police,High,Closed,N/A,Police,None,,18,,50,N/A,NA,N/A,25.22,77.396
209,Friday-October 16-2009,27 SHawwal 1430 A.H,Working Day,,2:45:00 PM,Peshawar,34.0043,71.5448,KPK,crimes investigation agency (CIA) in Swati gate-near peshawar cantt,Military,High,Closed,NA,Military,None,14,15,15,24,1,70 kg ,"Lady Reading Hospital 
Peshawar ",23.265,73.877
210,Tuesday-October 20-2009,1 Thw al-Qi`dah 1430 A.H,Working Day,,2:10:00 PM,Islamabad,33.718,73.0718,Capital,"Islamic International University
Islamabad ",Educational,Low,Closed,NA,Civilian,None,5,6,29,40,2,16 Kg,NA,21.895,71.411
211,Friday-October 23-2009,4 Thw al-Qi`dah 1430 A.H,Working Day,,7.10 am,Attock ,33.7645,72.3667,Punjab,"Kamra chowk-Aeronautical Complex
Security Check Post",Military,High,Open,NA,Military,None,8,9,13,17,1,NA,Govt Hospital Kamra,20.865,69.557
212,Saturday-October 24-2009,5 Thw al-Qi`dah 1430 A.H,Working Day,,late night,Chakwal ,32.9303,72.8556,Punjab,checkpost between kalarkahar and lilla interchange-lahore to isb motorway-,Police,High,Open,,police,None,,1,,,1,NA,NA,20.485,68.873
213,Monday-November 2-2009,14 Thw al-Qi`dah 1430 A.H,Working Day,,10.40 AM,Rawalpindi,33.6058,73.0437,Punjab,"Outside National Bank
Rawalpindi Cantt",Bank,Low,Open,NA,Civilian,None,35,38,60,65,1,15Kg,CMH-Distric headquarter hospital-militry hospital-combined military hospital,20.755,69.359
214,Monday-November 2-2009,14 Thw al-Qi`dah 1430 A.H,Working Day,,6:40 PM,Lahore,31.5451,74.3407,Punjab,"Checkpost at Babu Sabu Interchange
on Lahore Islamabad Motorway",Police,High,Open,NA,Police,None,,,10,25,1,10Kg,mian munchi hospital-mayo hospital,21.02,69.836
215,Sunday-November 8-2009,20 Thw al-Qi`dah 1430 A.H,Holiday,Weekend,9.30 AM,Peshawar,34.0043,71.5448,KPK,"Cattle Market in Adezai
Village in Peshawar",Market,Low,Open,NA,Government Official,None,12,19,35,45,1,10 Kg,"Lady Reading Hospital 
Peshawar ",14.74,58.532
216,Monday-November 9-2009,21 Thw al-Qi`dah 1430 A.H,Holiday,Iqbal Day,9.45 AM,Peshawar,34.0043,71.5448,KPK,police check post near busy intersection that connects charsadda road and ring road-Faqirabad,Police,High,Open,NA,Police,None,,3,5,7,1,7Kg ,NA,15.475,59.855
217,Tuesday-November 10-2009,22 Thw al-Qi`dah 1430 A.H,Working Day,,4:30 PM,Charsadda,34.1509,71.7359,KPK,ghafoor market in charsadda bazar-tangi road Farooq e Azam Chowk,Market,Low,Open,NA,Civilian,None,32,34,60,100,1,60Kg,"Lady Reading Hospital 
Peshawar ",15.49,59.882
218,Friday-November 13-2009,25 Thw al-Qi`dah 1430 A.H,Working Day,,6.45 AM,Peshawar,34.0043,71.5448,KPK,Military Check point at the entrance of regional HQ ISI,Military,High,Open,NA,Military,None,10,13,47,70,1,400Kg,"Lady Reading Hospital-combined military hospital-khyber teaching hospital-
Peshawar ",17.425,63.365
219,Friday-November 13-2009,25 Thw al-Qi`dah 1430 A.H,Working Day,,7.15 am,Bannu,32.9861,70.6042,KPK,Bakakhel police station on bannu-miranshah road,Police,High,Closed,NA,Police,None,7,8,22,29,1,200Kg,NA,10.7,51.26
220,Saturday-November 14-2009,26 Thw al-Qi`dah 1430 A.H,Working Day,,4:15 PM,Peshawar,34.0043,71.5448,KPK,police check post on Pishtakhara Intersection,Police,High,Open,NA,Police,None,,12,25,35,1,50-60Kg,"1. LRH Peshawar
2. Khyber Teaching
3. Hayatabad Medical ",17.01,62.618
221,Monday-November 16-2009,28 Thw al-Qi`dah 1430 A.H,Working Day,,NA,Peshawar,34.0043,71.5448,KPK,check point outside Badbher-police station,Police,High,Open,N/A,Police,None,,3,,43,1,250Kg,LRH ,14.65,58.37
222,Thursday-November 19-2009,2 Thw al-Hijjah 1430 A.H,Working Day,,10.20 am,Peshawar,34.0043,71.5448,KPK,"Main Gate of the Judicial
Complex on Khyber Road",Government,High,Open,NA,Government Official,None,20,22,46,50,1,10 kg ,"Lady Reading Hospital 
Peshawar ",15.72,60.296
223,Tuesday-December 1-2009,14 Thw al-Hijjah 1430 A.H,Working Day,,NA,Swat,35.2227,72.4258,KPK,"District Mangora-Tehsil Kabal
-Dherai area",Residence,Medium,Closed,,Government Official,None,1,2,11,30,1,10 Kg,NA,13.83,56.894
224,Wednesday-December 2-2009,15 Thw al-Hijjah 1430 A.H,Working Day,,1:30:00 PM,Islamabad,33.718,73.0718,Capital,Naval Complex,Military,High,Open,NA,Military,None,,2,10,18,1,12Kg,NA,15.595,60.071
225,Friday-December 4-2009,17 Thw al-Hijjah 1430 A.H,Working Day,,During Friday prayer,Rawalpindi,33.6058,73.0437,Punjab,Qasim market-Parade Lane Masjid,Religious,Medium,Closed,,Military,None,36,40,75,83,1,NA,"1. CMH Rawalpindi
2. DHQ Rawalpindi
3. AFIC      4.MH",16.04,60.872
226,Monday-December 7-2009,20 Thw al-Hijjah 1430 A.H,Working Day,,12:30 PM,Peshawar,34.0043,71.5448,KPK,"At the Gate of Peshawar
Session Court",Government,High,Open,NA,Government official,None,9,11,37,50,1,8Kg,"Lady Reading Hospital 
Peshawar ",13.765,56.777
227,Monday-December 7-2009,21 Thw al-Hijjah 1430 A.H,Working Day,,8.42 pm,Lahore,31.5451,74.3407,Punjab,Moon Market Lahore Allama Iqbal Town,Market,Low,Open,NA,Civilian,None,38,45,100,135,2,NA,"1. Jinnah Hospital
2. Sheikh Zahyad Hospital
3. Mayo Hospital 4.services hospital-5.farooq hospital",13.12,55.616
228,Tuesday-December 8-2009,21 Thw al-Hijjah 1430 A.H,Working Day,,12.10 PM,Multan,30.1886,71.4559,Punjab,checkpost near ISI Office building in Qasim Bala area -Multan Cantt,Military,High,Open,NA,Military,None,8,15,47,61,1,1000 Kg,"1. CMH
2. Nishtar Hospital ",14.84,58.712
229,Tuesday-December 15-2009,28 Thw al-Hijjah 1430 A.H,Working Day,,2.30 pm,D.G Khan,30.05,70.6333,KPK,Khosa market near-house of Zulfiqar ali Khosa,Residence,Medium,Open,NA,Government Official,None,24,33,55,70,1,1000 KG,district headquarters hospitals,16.34,61.412
230,Thursday-December 17-2009,30 Thw al-Hijjah 1430 A.H,Working Day,,,Bannu,32.9861,70.6042,KPK,Essakhel village-house of Local political leader,Residence,Medium,Closed,,Government Official,None,,0,,0,1,NA,NA,6.315,43.367
231,Friday-December 18-2009,1 MuHarram 1431 A.H. ,Working Day,,1.30 pm,Lower Dir,34.8453,71.9046,KPK,mosque on Khursheed police line- civil colony in Timergarah,Religious,Medium,Closed,,Police,None,,12,28,35,1,20 Kg,DHQ Timergara,10.69,51.242
232,Tuesday-December 22-2009,5 MuHarram 1431 A.H,Working Day,,11:40 AM,Peshawar,34.0043,71.5448,KPK,"Main Gate Peshawar Press 
Club",Office Building,Low,Closed,NA,Media,None,1,3,21,24,1,10 kg ,"Lady Reading Hospital 
Peshawar ",13.12,55.616
233,Thursday-December 24-2009,7 MuHarram 1431 A.H,Working Day,,11.57 am,Peshawar,34.0043,71.5448,KPK,junction of mall road and Arbab Road-near PIA Building,Police,High,Open,NA,Government Official,None,4,5,24,25,1,10 Kg,"Lady Reading Hospital 
Peshawar ",13.48,56.264
234,Thursday-December 24-2009,7 MuHarram 1431 A.H,Working Day,,10.18 pm,Islamabad,33.718,73.0718,Capital,Majlis in Shakrial-near darbad saein boota,Religious,Medium,Open,Shia Religious Gathering ,Religious,Shiite,,1,1,4,1,NA,PIMS,12.7,54.86
235,Monday-December 28-2009,11 MuHarram 1431 A.H,Holiday,Ashura,6.30 pm,Muzaffarabad,34.3597,73.4711,AJK,CMH Road-Muzaffarabad,Park/Ground,Medium,Open,Muharram Procession,Religious,Shiite,10,15,81,100,1,NA,NA,9.525,49.145
236,Friday-January 1-2010,15 MuHarram 1431 A.H,Working Day,,5:00:00 PM,Lakki marwat,32.6018,70.9148,KPK,Peshawar shah Hasankhel village ground,Park/Ground,Medium,Open,,Civilian,None,88,100,37,100,1,250 kg,Near local hospital ,6.805,44.249
237,Wednesday-January 6-2010,20 MuHarram 1431 A.H,Working Day,,6:50:00 AM,Sudhanoti,33.706,73.7242,AJK,Military Base in tarar khal town sudhanoti district,Military,High,Open,,Military,None,,4,11,12,1,NA,CMH Rawala kot,11.39,52.502
238,Friday-January 8-2010,22 MuHarram 1431 A.H,Working Day,,,Khyber Agency ,34.0211,71.2874,KPK,at the gate of the headquarters of the militant group Ansar-ul-Islam in the Tirah area,Religious,low,Open,Ansar-ul-Islam (AI) Shura,Religious,None,,8,,11,1,NA,NA,11.33,52.394
239,Friday-January 8-2010,22 MuHarram 1431 A.H,Working Day,,,peshawar,34.0043,71.5448,KPK,Adezai village in Matni on the outskirts of Peshawar,Police,High,Open ,,Police,None,,0,,6,1,NA,NA,12.075,53.735
240,Saturday-January 16-2010,30 MuHarram 1431 A.H,Working Day,,10:00:00 AM/10:15 AM,Poonch,33.8243,73.7949,AJK,Dothan village near rawlakot,Mobile,High,Open,,Police,None,,1,1,2,1,600 kg,CMH Rawala kot,12.41,54.338
241,Saturday-January 23-2010,8 safar 1431 A.H,Working Day,,NA,Tank,32.226,70.3761,KPK,gomal police station,Police,High,Open,,Police,None,4,5,3,11,1,NA,NA,6.015,42.827
242,Friday-January 29-2010,14 safar 1431 A.H,Working Day,,NA,Bajaur Agency,34.8718,71.5249,FATA,Bajor agency headquarter (khar town) security check post,Military,High,Open,,Military,None,16,17,26,47,1,NA,District headquarter hospital Timra,6.905,44.429
243,Wednesday-February 10-2010,26 safar 1431 A.H,Working Day,,NA,Khyber Agency,34.0211,71.2874,KPK,Jamrud tehsil Khyber agency,Mobile,High,Open,,Military,None,17,22,6,11,1,NA,1.Hayatabad Meical hospital,8.07,46.526
244,Thursday-February 11-2010,27 safar 1431 A.H,Working Day,,Maghrib prayers,Bannu,32.9861,70.6042,KPK,Bannu police Lines 2-,Police,High,Open,,Police,None,,15,25,30,2,NA,1.District Headquarter Hospital Bannu  2.Combined Military Hospital,2.32,36.176
245,Thursday-February 18-2010,4 Raby` al-awal 1431 A.H,Working Day,,NA,Khyber Agency,34.0211,71.2874,KPK,LI center near Darss Mosque in akakhel area of Tirah valley,Religious,Medium,Open,Lashkar-e-Islam Commander was the target,Anti-Militants,Sunni,22,31,30,110,1,40Kg,Mashte hospital,11.835,53.303
246,Saturday-February 20-2010,6 Raby` al-awal 1431 A.H,Working Day,,9:30:00 AM,Mansehra,34.3333,73.2,KPK,Balakot police station,Police,High,Open,,Police,None,,1,4,10,2,5Kg,1.Manseehra District Headquarters Hospital ,13.74,56.732
247,Monday-February 22-2010,8 Raby` al-awal 1431 A.H,Working Day,,4:20:00 AM,Swat,35.2227,72.4258,KPK,Mingora-Nishat Chowk,Mobile,High,Open,attack on security forces vehicle,Military,None,7,13,37,41,1,NA,1.CMH Hospital 2.Seydo Hospital,11.66,52.988
248,Saturday-February 27-2010,13 Raby` al-awal 1431 A.H,Holiday,Eid Milad un-Nabi,NA,Karak,33.1193,71.0951,KPK,Karak Police Station,Police,High,Open,,Police,None,,4,23,24,2,250Kg,District Headquarter Hospital Karak,11.69,53.042
249,Friday-March 5-2010,19 Raby` al-awal 1431 A.H,Working Day,,NA,Hangu,33.5351,71.0713,KPK,Tal parachinar road in the jurisdiction of dandore area of Hangu,Mobile,Low,Open,,Civilian,Shiite,12,14,30,35,1, 12 kg,1.CMH Tal Hospital 2.District Headquarters hospital hangu,12.35,54.23
250,Monday-March 8-2010,22 Raby` al-awal 1431 A.H,Working Day,,8:20:00 AM,Lahore ,31.5451,74.3407,Punjab,(SIA ) office-model Town area,Office Building,High,Open,,Military,None,13,14,80,100,1,600Kg,1.Jinna Hospital 2.General Hosptal 3.shaikh zayed Hospital 4.Ittefaq Hospital,20.46,68.828
251,Friday-March 12-2010,26 Raby` al-awal 1431 A.H,Working Day,,12:45:00 PM,Lahore ,31.5451,74.3407,Punjab,Lahore Cant R.A Bazar Stop,Military,High,Open,,Military,Sunni,43,57,90,100,2,12 kg,Children Hospital,23.32,73.976
252,Saturday-March 13-2010,27 Raby` al-awal 1431 A.H,Working Day,,9:15:00 AM,Swat,35.2227,72.4258,KPK,District court Checkpost,Police,High,Open,,Police,None,14,17,52,60,1,14 kg,1. Judical Complex ,16.365,61.457
253,Monday-March 29-2010,13 Raby` al-THaany 1431 A.H.,Working Day,,,Tank,32.226,70.3761,KPK,office of Pro-govt tribal leader-Misbahhuddin mehsud,Government/Office Building,Medium,Closed,,Anti-Militants,Sunni,,2,,2,1,NA,,16.64,61.952
254,Monday-March 29-2010,13 Raby` al-THaany 1431 A.H.,Working Day,,,Bajaur Agency,34.8718,71.5249,FATA,Lagharai area in Bajaur,Mobile,Low,Open,Leader of anti-militants lashkar,Anti-Militants,Sunni,,2,5,8,1,NA,Agency headquarter hospital in Khar,19.45,67.01
255,Monday-April 5-2010,20 Raby` al-THaany 1431 A.H.,Working Day,,NA,Peshawar,34.0043,71.5448,KPK,U.S. consulate peshwar,Foreign,High,Open,,foreigner,Christian,6,8,,0,1,NA,,23.135,73.643
256,Monday-April 5-2010,20 Raby` al-THaany 1431 A.H.,Working Day,,12:00 noon,Lower Dir,34.8453,71.9046,KPK,ANP rally in Timergara ,Hotel,Medium,Open,,Government Official,None,50,56,75,120,3,NA,1.Lady Reading Hospital 2.Khaber Teaching Hospital,21.1,69.98
257,Friday-April 16-2010,2 Jumaada al-awal 1431 A.H,Working Day,,,Quetta,30.2095,67.0182,Baluchistan,Quetta civil Hospital ,Hospital,Low,Closed,,Government Official,Shiite,,11,35,40,1,15 kg,1.Civil Hospital 2.Bolan Medical Complex 3. CMH,25.14,77.252
258,Saturday-April 17-2010,3 Jumaada al-awal 1431 A.H,Working Day,,12:00:00 PM/11:55 AM,Kohat,33.5833,71.4333,KPK,IDP camp-kacha Pakha area on Hangu Road Kohat,Park/Ground,Low,Open,,Civilian,None,41,44,60,70,2,12 Kg,1.District Headquarter Hospital  2.Liaqat Hospital,28.745,83.741
259,Sunday-April 18-2010,4 Jumaada al-awal 1431 A.H,Holiday,Weekend,7:15:00 AM,Kohat,33.5833,71.4333,KPK,Kohat Police Station,Police,High,Closed,,Police,None,,7,30,32,1,250 kg,District Headquarter Hospital,26.62,79.916
260,Monday-April 19-2010,5 Jumaada al-awal 1431 A.H,Working Day,,12:30:00 PM,Peshawar,34.0043,71.5448,KPK,Protest demonstration Qissa Khawani Bazaar,Park/Ground,Low,Open,Jamit-i-Islam members,Anti-Militants,Sunni,23,24,27,49,1,8 kg,Lady Reading Hospital,25.96,78.728
261,Wednesday-April 28-2010,14 Jumaada al-awal 1431 A.H,Working Day,,4:05:00 AM,Peshawar,34.0043,71.5448,KPK,Pir Bala Police Check post ,Police,High,Open,,Police,None,4,5,11,14,1,300 kg,Lady Reading Hospital,26.47,79.646
262,Saturday-May 1-2010,17 Jumaada al-awal 1431 A.H,Holiday,Labour Day,NA,Swat,35.2227,72.4258,KPK,Sohrab Khan Market town Mingora ,Market,Low,Open,,Civilian,None,3,7,9,16,1,15 kg,NA,23.315,73.967
263,Sunday-May 2-2010,18 Jumaada al-awal 1431 A.H,Holiday,Weekend,NA,Bajaur Agency,34.8718,71.5249,FATA,Bilalabad area near Khar town,Military,High,Open,,Military,None,,0,,0,1,NA,NA,27.025,80.645
264,Friday-May 28-2010,14 Jumaada al-THaany 1431 A.H,Working Day,,NA,Lahore ,31.5451,74.3407,Punjab,Model Town and garhi shahu  lahore ,Religious,Medium,Closed,,Civilian,Ahmedi,80,95,92,200,1,NA,NA,31.495,88.691
265,Thursday-July 1-2010,19 Rajab 1431 A.H,Working Day,,10:46:00 PM/11:00 PM,Lahore ,31.5451,74.3407,Punjab,Data Darbar-Lahore,Religious,Medium,Closed,,Civilian,None,40,42,,175,2,20 kg ,"1. Mayo Hospital
2. Sir Ganga Ram Hospital 
3. Services Hospital ",32.37,90.266
266,Friday-July 9-2010,27 Rajab 1431 A.H,Working Day,,NA,Mohmand Agency ,32.9746,70.1456,FATA,"Yakka Ghund Tehsil
of Mohmand Agency",Park/Ground,Low,Open,,Government Official,None,65,80,104,110,2,NA,Lady Reading Hospital Peshwar,26.725,80.105
267,Monday-July 12-2010,30 Rajab 1431 A.H,Working Day,,NA,Kohat,33.5833,71.4333,KPK,outside the guest house of a pro-Government tribal elder-Malik Swab Khan-in Kohat District,Government,Low,Open,,Government Official,None,,0,,0,1,NA,NA,32.205,89.969
268,Sunday-July 18-2010,6 SHa`baan 1431 A.H,Holiday,Weekend,NA,Sargodha,32.0791,72.6718,Punjab,Dar-ul-uloom muhamdia imambargh,Religious,Medium,Closed,,Religious,Shiite,3,4,9,26,1,NA,NA,34.805,94.649
269,Monday-July 26-2010,14 SHa`baan 1431 A.H,Working Day,,NA,Nowshehra,34.0322,73.0944,KPK,"Nowshera near
Provincial Info Ministr house ",Residence,Medium,Closed,,Government Official,Sunni,,8,23,25,1,10 kg,Lady Reading Hospital Peshwar,31.52,88.736
270,Wednesday-August 4-2010,23 SHa`baan 1431 A.H,Working Day,,around 4:30 PM,Peshawar,34.0043,71.5448,KPK,FC chowk near Dean's trade center,Mobile,High,Open,NA,Military,None,3,4,11,14,1,10Kg,NA,28.59,83.462
271,Monday-August 23-2010,13 RamaDHaan 1431 A.H.,Working Day,,,South waziristan,32.3202,69.8597,FATA,Wana-mosque,Religious,Medium,Closed,Pro-Government cleric,Anti-Militants,Sunni,26,30,,40,1,20Kg,NA,25.23,77.414
272,Wednesday-September 1-2010,23 RamaDHaan 1431 A.H,Working Day,,6:55pm/7:00pm/7:10pm,Lahore ,31.5451,74.3407,Punjab,1)First blast lower mal gate 2)Ghaznavi street urdu bazar 3) Bhati Chowk ,Park/Ground,Low,Open,Yaum-e-Ali,Religious,Shiite,27,43,150,243,3,NA,1)Mayo Hospital 2)Sir ganga Ram Hospital  ,31.97,89.546
273,Friday-September 3-2010,24 RamaDHaan 1431 A.H.,Working Day,,NA,Quetta,30.2095,67.0182,Baluchistan,Mizan chowk Quetta,Park/Ground,Low,Open,Al-Quds Rally organized by Imamia stdents organization,Civilian,None,54,62,150,200,1,15Kg,1.Combined Miltry Hospital                2.Civil Hospital ,26.745,80.141
274,Friday-September 3-2010,24 RamaDHaan 1431 A.H.,Working Day,,NA,Mardan,34.1982,72.0444,KPK,worship place of the Ahmedis in Muslimabad area ,Religious,Medium,Closed,,Religious,None,,1,,4,1,NA,NA,27.875,82.175
275,Monday-September 6-2010,27 RamaDHaan 1431 A.H,Holiday,Defence Day,7:05:00 AM,lakki marwat,32.6018,70.9148,KPK,lakki marwat Police Station,Police,High,Closed,,Police,None,15,19,34,57,1,600 kg,1.Civil Hospital      2.DHQ Hospital,26.635,79.943
276,Thursday-September 9-2010,30 RamaDHaan 1431 A.H,Working Day,,12:30:00 PM,Quetta,30.2095,67.0182,Baluchistan,"Raily Housing Society
Near Finance Minnister
House Quetta",Residence,Medium,Open,,Government Official,None,2,5,3,6,1,15 kg,NA,25.8,78.44
277,Thursday-October 7-2010,28 SHawwal 1431 A.H,Working Day,,6:45:00 PM,Karachi,24.9918,66.9911,Sindh,Shrine of Abdullah shah ghazi in Clifton,Religious,Medium,Closed,Attendess at shrine,Religious,Sunni,6,10,60,77,2, 6 kg,"1. JPMC
2. Civil Hospital KHI",30.45,86.81
278,Monday-October 18-2010,10 Thw al-Qi`dah 1431 A.H,Working Day,,NA,Lakki marwat,32.6018,70.9148,KPK,jabukhel village,Park/Ground,Low,Open,police tried to stop the car but the driver exploded the car in residential area,civilian,None,,,5,14,1,1200Kg,,20.785,69.413
279,Monday-November 1-2010,24 Thw al-Qi`dah 1431 A.H,Working Day,,8:45:00 AM,Swabi ,34.1335,72.4702,KPK,District Shahmanoor Police Lines Swabi,Police,High,Open,,Police,None,2,5,10,13,1,12 kg ,1.Judicial Complex ,18.87,65.966
280,Friday-November 5-2010,28 Thw al-Qi`dah 1431 A.H,Working Day,,1:30:00 PM,Dara Adam khel,33.6854,71.5131,KPK,Dara Adam Khel Corwded Mosque ,Religious,Medium,Closed,,Religious,Sunni,61,76,70,132,1,15Kg,1.District Headqurters Hospital 2.Lady reading hospital ,20.1,68.18
281,Thursday-November 11-2010,5 Thw al-Hijjah 1431 A.H,Working Day,,8:10:00 PM,Karachi ,24.9918,66.9911,Sindh,Crime Investigation Department,Military,High,Closed,,Military,None,16,20,100,140,1,1000 Kg ,NA,28.175,82.715
282,Thursday-November 11-2010,5 Thw al-Hijjah 1431 A.H,Working Day,,NA,Poonch,33.8243,73.7949,AJK,Rawalacot Security force vehicle,Mobile,Low,open,,Military,,,0,,2,1,NA,1.Zahid hospital ,18.315,64.967
283,Sunday-November 14-2010,8 Thw al-Hijjah 1431 A.H,Holiday,Weekend,NA,South waziristan,32.3202,69.8597,FATA,Shakai village ,Market,Low,Open,,Anti-Militants,Sunni,,1,,8,1,NA,Wana hospital,7.985,46.373
284,Tuesday-November 30-2010,24 Thw al-Hijjah 1431 A.H,Working Day,,8:45:00 AM,Bannu,32.935,70.6688,KPK,near furniture market-Banu,Mobile,High,Open,police van crossing the chowk,Police,None,2,6,6,22,1, 12 kg,NA,9.975,49.955
285,Monday-December 6-2010,30 Thw al-Hijjah 1431 A.H,Working Day,,2:00:00 PM,Mohmand Agency ,32.9746,70.1456,Fata,"Mohmad Agency-Ghalani area-Political 
Agent office ",Government,High,Closed,,Government Official,None,40,50,60,100,2,NA,"1.Tehsil Headquarters Ghalani 
2.Lady Reading ",5.08,41.144
286,Tuesday-December 7-2010,1 MuHarram 1432 A.H,Working Day,,NA,Quetta,30.2095,67.0182,Baluchistan,railway level crossing sryab pattak,Transport,Low,Open,Minister Balochistan,Government Official,None,,,10,12,1,NA,CMH ,4.51,40.118
287,Wednesday-December 8-2010,2 MuHarram 1432 A.H,Working Day,,1:00:00 PM,Kohat,33.5833,71.4333,KPK,Kohat Bus stand,Transport,Low,Open,,Civilian,None,18,20,,32,1,10 kg,NA,12.205,53.969
288,Friday-December 10-2010,4 MuHarram 1432 A.H,Working Day,,4:00:00 PM,Hangu,33.5351,71.0713,KPK,Pass Killay area-under construction Private Hospital,Hospital,Low,Closed,,civilian,None,10,17,16,30,1,400 KG,Hospitals in Kohat Division,10.385,50.693
289,Thursday-December 23-2010,17 MuHarram 1432 A.H,Working Day,,NA,Islamabad,33.718,73.0718,Capital,Entrance to imambargah,Religious,Medium,Closed,,religious,Sunni,,1,,2,1,NA,NA,11.73,53.114
290,Friday-December 24-2010,18 MuHarram 1432 A.H,Working Day,,NA,Peshawar,34.0043,71.5448,KPK,Mall road peshawar,Police,High,Open,Police was not sure about the bmbers target,Civilian,None,,4,,24,1,10 kg ,lady Reading Hospital-CMH,10.845,51.521
291,Saturday-December 25-2010,19 MuHarram 1432 A.H,Holiday,Christmas/ birthday of Quaid-e-Azam,NA,Bajaur Agency,34.8718,71.5249,FATA,WFP office Khar,Foreign,High,Closed,target was police checkpost,Police,None,42,47,80,105,1,NA,NA,9.705,49.469
292,Monday-December 27-2010,21 MuHarram 1432 A.H,Working Day,,Evening,Muzaffarabad,34.3597,73.4711,AJK,Procession from Neelam Valley,Park/Ground,Medium,Open,,religious,Shiite,,7,,65,1,NA,NA,9.24,48.632
293,Wednesday-January 12-2011,8 safar 1432 A.H,Working Day,,Evening,Bannu,32.935,70.6688,KPK,Bannu Police Station,Religious,Medium,Closed,,civilian,Sunni,18,20,15,20,1,1000 kg,Bannu's Main hospital,7.775,45.995
294,Tuesday-January 25-2011,21 safar 1432 A.H,Working Day,,Evening,Lahore,31.5451,74.3407,Punjab,Urdu Bazar intersection on circular road,Police,High,Open,Hazrat Imam Hussain Chehlum Procession,Religious,Shiite,11,17,71,80,1,5Kg,Mayo Hospital-ganagaram hospital,14.165,57.497
295,Thursday-January 27-2011,23 safar 1432 A.H,Working Day,,,Bajaur Agency,34.8718,71.5249,FATA,Sarameena area of Khar tehsil in the Bajaur Agency,Military,High,Open,,Military,None,,0,,0,1,NA,NA,10.395,50.711
296,Monday-January 31-2011,27 safar 1432 A.H,Working Day,,Morning,Peshawar,34.0043,71.5448,KPK,Kohat road Garhi Kamruddin over head bridge,Mobile,High,Open,Police car,Police,None,5,7,14,16,1,7Kg,NA,14.355,57.839
297,Thursday-February 10-2011,7 Raby` al-awal 1432 A.H,Working Day,,8:00 AM/8:15:00 AM,Mardan,34.1982,72.0444,KPK,Punjab Regiment Center,Military,High,Open,,Military,None,28,36,35,50,1,9Kg,CMH Mardan-CMH rawalpindi,11.06,51.908
298,Friday-February 11-2011,8 Raby` al-awal 1432 A.H,Working Day,,,Mohmand Agency ,32.9746,70.1456,Fata,Dabo Dheri checkpost in Prang Ghar ,Police,High,Open,,Police,None,,1,,3,1,NA,NA,1.445,34.601
299,Saturday-February 12-2011,9 Raby` al-awal 1432 A.H,Working Day,,Saturday Morning,Malakand ,34.503,71.9046,KPK,Batakhel area,Residence,Low,Closed,security forces were trying to arest the bomber,Military,None,1,3,,,1,NA,NA,8.305,46.949
300,Saturday-February 19-2011,16 Raby` al-awal 1432 A.H,Working Day,,,Bannu,32.935,70.6688,KPK,police station in bannu,Police,High,Open,,Police,None,,,,4,1,NA,NA,5.45,41.81
